Date,Deaths
3/7/2020,null
3/8/2020,null
3/9/2020,null
3/10/2020,null
3/11/2020,null
3/12/2020,null
3/13/2020,null
3/14/2020,null
3/15/2020,null
3/16/2020,null
3/17/2020,null
3/18/2020,null
3/19/2020,null
3/20/2020,null
3/21/2020,1
3/22/2020,1
3/23/2020,2
3/24/2020,2
3/25/2020,3
3/26/2020,5
3/27/2020,7
3/28/2020,7
3/29/2020,7
3/30/2020,9
3/31/2020,11
4/1/2020,16
4/2/2020,17
4/3/2020,18
4/4/2020,19
4/5/2020,19
4/6/2020,31
4/7/2020,36
4/8/2020,40
4/9/2020,44
4/10/2020,45
4/11/2020,45
4/12/2020,47
4/13/2020,53
4/14/2020,60
4/15/2020,63
4/16/2020,70
4/17/2020,71
4/18/2020,71
4/19/2020,72
4/20/2020,87
4/21/2020,96
4/22/2020,100
4/23/2020,102
4/24/2020,111
4/25/2020,111
4/26/2020,113
4/27/2020,118
4/28/2020,120
4/29/2020,124
4/30/2020,134
5/1/2020,138
5/2/2020,139
5/3/2020,144
5/4/2020,150
5/5/2020,158
5/6/2020,165
5/7/2020,169
5/8/2020,175
5/9/2020,175
5/10/2020,175
5/11/2020,190
5/12/2020,194
5/13/2020,200
5/14/2020,208
5/15/2020,209
5/16/2020,209
5/17/2020,211
5/18/2020,222
5/19/2020,230
5/20/2020,241
5/21/2020,242
5/22/2020,249
5/23/2020,249
5/24/2020,249
5/25/2020,249
5/26/2020,255
5/27/2020,260
5/28/2020,266
5/29/2020,269
5/30/2020,269
5/31/2020,269
6/1/2020,276
6/2/2020,283
6/3/2020,288
6/4/2020,294
6/5/2020,296
6/6/2020,296
6/7/2020,296
6/8/2020,301
6/9/2020,305
6/10/2020,308
6/11/2020,313
6/12/2020,319
6/13/2020,319
6/14/2020,320
6/15/2020,323
6/16/2020,327
6/17/2020,331
6/18/2020,332
6/19/2020,338
6/20/2020,338
6/21/2020,338
6/22/2020,341
6/23/2020,347
6/24/2020,352
6/25/2020,358
6/26/2020,360
6/27/2020,361
6/28/2020,361
6/29/2020,365
6/30/2020,372
7/1/2020,377
7/2/2020,387
7/3/2020,387
7/4/2020,387
7/5/2020,387
7/6/2020,399
7/7/2020,406
7/8/2020,415
7/9/2020,420
7/10/2020,422
7/11/2020,422
7/12/2020,422
7/13/2020,436
7/14/2020,448
7/15/2020,465
7/16/2020,472
7/17/2020,478
7/18/2020,478
7/19/2020,478
7/20/2020,487
7/21/2020,505
7/22/2020,512
7/23/2020,524
7/24/2020,533
7/25/2020,533
7/26/2020,533
7/27/2020,547
