date,cases
7/1/2020,584
7/2/2020,489
7/3/2020,468
7/4/2020,562
7/5/2020,274
7/6/2020,578
7/7/2020,264
7/8/2020,560
7/9/2020,461
7/10/2020,508
7/11/2020,558
7/12/2020,419
7/13/2020,539
7/14/2020,559
7/15/2020,409
7/16/2020,634
7/17/2020,625
7/18/2020,568
7/19/2020,453
7/20/2020,385
7/21/2020,587
7/22/2020,501
7/23/2020,490
7/24/2020,603
7/25/2020,283
7/26/2020,523
7/27/2020,498
7/28/2020,282
7/29/2020,381
7/30/2020,380
7/31/2020,529
8/1/2020,306
8/2/2020,343
8/3/2020,290
8/4/2020,348
8/5/2020,263
8/6/2020,652
8/7/2020,551
8/8/2020,417
8/9/2020,228
8/10/2020,182
8/11/2020,236
8/12/2020,266
8/13/2020,406
8/14/2020,279
8/15/2020,334
8/16/2020,282
8/17/2020,202
8/18/2020,214
8/19/2020,232
8/20/2020,304
8/21/2020,291
8/22/2020,337
8/23/2020,187
8/24/2020,267
8/25/2020,228
8/26/2020,277
8/27/2020,285
8/28/2020,263
8/29/2020,253
8/30/2020,304
8/31/2020,267
9/1/2020,250
9/2/2020,325
9/3/2020,453
9/4/2020,443
9/5/2020,308
9/6/2020,216
9/7/2020,211
9/8/2020,247
9/9/2020,284
9/10/2020,361
9/11/2020,445
9/12/2020,265
9/13/2020,208
9/14/2020,294
9/15/2020,264
9/16/2020,174
9/17/2020,388
9/18/2020,286
9/19/2020,284
9/20/2020,348
9/21/2020,222
9/22/2020,278
9/23/2020,171
9/24/2020,405
9/25/2020,330
9/26/2020,279
9/27/2020,124
9/28/2020,251
9/29/2020,195
9/30/2020,305
10/1/2020,306
10/2/2020,409
10/3/2020,236
10/4/2020,224
10/5/2020,161
10/6/2020,354
10/7/2020,291
10/8/2020,357
10/9/2020,320
10/10/2020,408
10/11/2020,195
10/12/2020,278
10/13/2020,303
10/14/2020,143
10/15/2020,311
10/16/2020,201
10/17/2020,373
10/18/2020,380
10/19/2020,265
10/20/2020,263
10/21/2020,235
10/22/2020,430
10/23/2020,386
10/24/2020,269
10/25/2020,358
10/26/2020,269
10/27/2020,330
10/28/2020,358
10/29/2020,471
10/30/2020,381
10/31/2020,352
11/1/2020,307
11/2/2020,293
11/3/2020,404
11/4/2020,530
11/5/2020,480
11/6/2020,540
11/7/2020,513
11/8/2020,401
11/9/2020,483
11/10/2020,661
11/11/2020,620
11/12/2020,611
11/13/2020,736
11/14/2020,1087
11/15/2020,833
11/16/2020,718
11/17/2020,922
11/18/2020,899
11/19/2020,1091
11/20/2020,1478
11/21/2020,939
11/22/2020,1167
11/23/2020,1546
11/24/2020,944
11/25/2020,1052
11/26/2020,1802
11/27/2020,1859
11/28/2020,1066
11/29/2020,959
11/30/2020,1378
12/1/2020,1217
12/2/2020,1504
12/3/2020,2039
12/4/2020,2287
12/5/2020,1703
12/6/2020,1998
12/7/2020,1276
12/8/2020,2104
12/9/2020,2050
12/10/2020,2867
12/11/2020,2490
12/12/2020,2416
12/13/2020,2206
12/14/2020,1863
12/15/2020,2807
12/16/2020,2604
12/17/2020,3611
12/18/2020,2509
12/19/2020,3493
12/20/2020,3252
12/21/2020,2381
12/22/2020,2598
12/23/2020,2259
12/24/2020,3006
12/25/2020,2686
12/26/2020,3132
12/27/2020,1751
12/28/2020,2534
12/29/2020,2448
12/30/2020,3083
12/31/2020,4478
1/1/2021,4427
1/2/2021,3520
1/3/2021,3013
1/4/2021,1814
1/5/2021,3815
1/6/2021,3850
1/7/2021,4550
1/8/2021,3538
1/9/2021,3288
1/10/2021,2907
1/11/2021,3524
1/12/2021,3261
1/13/2021,2595
1/14/2021,2695
1/15/2021,3027
1/16/2021,1890
1/17/2021,2550
1/18/2021,2498
1/19/2021,1720
1/20/2021,1176
1/21/2021,2847
1/22/2021,2980
1/23/2021,1637
1/24/2021,1437
1/25/2021,1434
1/26/2021,1415
1/27/2021,1489
1/28/2021,1670
1/29/2021,2128
1/30/2021,1274
1/31/2021,1082
2/1/2021,926
2/2/2021,968
2/3/2021,1598
2/4/2021,1453
2/5/2021,1265
2/6/2021,1230
2/7/2021,698
2/8/2021,789
2/9/2021,810
2/10/2021,1113
2/11/2021,817
2/12/2021,891
2/13/2021,568
2/14/2021,693
2/15/2021,698
2/16/2021,539
2/17/2021,810
2/18/2021,812
2/19/2021,711
2/20/2021,517
2/21/2021,321
2/22/2021,454
2/23/2021,658
2/24/2021,519
2/25/2021,662
2/26/2021,450
2/27/2021,262
2/28/2021,269
3/1/2021,376
3/2/2021,352
3/3/2021,508
3/4/2021,499
3/5/2021,421
3/6/2021,187
3/7/2021,307
3/8/2021,473
3/9/2021,349
3/10/2021,430
3/11/2021,362
3/12/2021,384
3/13/2021,198
3/14/2021,178
3/15/2021,257
3/16/2021,411
3/17/2021,439
3/18/2021,421
3/19/2021,359
3/20/2021,192
3/21/2021,189
3/22/2021,243
3/23/2021,257
3/24/2021,210
3/25/2021,422
3/26/2021,226
3/27/2021,205
3/28/2021,290
3/29/2021,227
3/30/2021,290
3/31/2021,252
4/1/2021,496
4/2/2021,299
4/3/2021,193
4/4/2021,127
4/5/2021,212
4/6/2021,328
4/7/2021,300
4/8/2021,202
4/9/2021,361
4/10/2021,229
4/11/2021,144
4/12/2021,278
4/13/2021,260
4/14/2021,281
4/15/2021,317
4/16/2021,245
4/17/2021,149
4/18/2021,152
4/19/2021,256
